id,ox,oy,dx,dy,ori_cluster
0,439479.9068,4422451.174,439342.9481,4419376.918,1
1,439022.7612,4422451.944,439492.9022,4419372.685,1
2,439306.3342,4422478.126,439149.9616,4419348.354,1
3,439034.2323,4422458.564,439357.6493,4419314.501,1
4,439202.0902,4422410.272,439412.7141,4419329.096,1
5,439441.5707,4422430.476,439311.0655,4419363.773,1
6,439234.2209,4422410.185,439490.785,4419316.329,1
7,439083.8987,4422462.378,439487.1247,4419360.939,1
8,439289.9222,4422416.809,439351.9174,4419325.508,1
9,439255.3523,4422441.995,439206.6353,4419332.839,1
10,439234.71,4422439.789,439322.8329,4419357.875,1
11,439365.6046,4422409.558,439253.6334,4419363.12,1
12,439301.7516,4422443.621,439450.8273,4419370.93,1
13,439430.2367,4422465.954,439454.809,4419354.355,1
14,439372.9351,4422458.977,439054.4284,4419392.476,1
15,439128.0158,4422401.799,439145.9888,4419377.198,1
16,439296.2413,4422438.948,439125.8421,4419332.907,1
17,439108.0292,4422477.681,439443.5815,4419324.98,1
18,439251.6552,4422445.763,439494.0216,4419327.602,1
19,439034.6211,4422437.513,439222.5835,4419381.705,1
20,439070.5744,4422433.376,439053.3639,4419344.013,1
21,439279.3683,4422451.639,439282.9423,4419368.461,1
22,439034.1198,4422403.274,439077.304,4419346.804,1
23,439138.6307,4422449.482,439077.1055,4419307.903,1
24,439239.5794,4422421.916,439098.2832,4419353.78,1
25,439096.7411,4422423.271,439332.6577,4419363.748,1
26,439192.4114,4422471.108,439052.6466,4419316.444,1
27,439494.2707,4422443.018,439451.2082,4419339.939,1
28,439178.6657,4422447.524,439440.8658,4419392.466,1
29,439119.6476,4422475.618,439279.7749,4419304.071,1
30,439486.3191,4422474.249,439257.6414,4419319.015,1
31,439395.4516,4422471.916,439246.4015,4419359.15,1
32,439349.4822,4422411.499,439379.7738,4419317.555,1
33,439444.7255,4422462.372,439311.0061,4419375.349,1
34,439005.7672,4422450.712,439332.8476,4419340.781,1
35,439256.936,4422448.315,439420.6457,4419375.267,1
36,439085.9182,4422458.821,439100.6645,4419368.679,1
37,439184.4547,4422452.39,439306.0788,4419396.965,1
38,439017.4385,4422402.062,439359.6912,4419329.949,1
39,439386.5659,4422452.513,439244.9741,4419370.801,1
40,439169.7022,4422478.433,439374.0432,4419334.639,1
41,439487.5802,4422428.861,439418.7666,4419341.411,1
42,439482.1339,4422419.609,439493.5629,4419339.484,1
43,439420.6448,4422463.065,439157.8273,4419324.358,1
44,439479.6012,4422442.852,439336.2592,4419363.883,1
45,439343.9902,4422412.188,439397.5614,4419319.289,1
46,439194.8992,4422407.623,439201.3615,4419396.572,1
47,439187.2724,4422429.563,439099.3879,4419378.142,1
48,439307.061,4422447.245,439224.5498,4419370.756,1
49,439384.5993,4422407.819,439463.4907,4419369.505,1
50,439226.1862,4422415.08,439393.8863,4419356.052,1
51,439333.4597,4422473.927,439497.4053,4419333.599,1
52,439270.4716,4422442.396,439454.6234,4419353.458,1
53,439458.5023,4422413.851,439047.5638,4419319.431,1
54,439032.2378,4422422.333,439167.0123,4419367.624,1
55,439354.9205,4422469.605,439141.0295,4419390.547,1
56,439213.0664,4422405.257,439055.0639,4419344.023,1
57,439469.5141,4422476.259,439211.8073,4419312.733,1
58,439295.6561,4422427.85,439307.4163,4419397.845,1
59,439009.178,4422458.428,439093.2312,4419389.92,1
60,439211.3091,4422443.149,439365.4727,4419343.98,1
61,439106.03,4422430.424,439263.2462,4419346.679,1
62,439430.6083,4422467.651,439204.0209,4419317.125,1
63,439442.5322,4422475.782,439077.4202,4419338.179,1
64,439242.8135,4422456.361,439442.2468,4419338.306,1
65,439372.8427,4422467.158,439398.856,4419388.926,1
66,439137.7648,4422415.243,439077.2363,4419350.812,1
67,439336.7655,4422408.201,439459.8537,4419397.894,1
68,439021.6059,4422479.197,439012.9711,4419388.566,1
69,439493.0625,4422419.314,439288.3127,4419327.922,1
70,439155.9956,4422456.149,439486.4689,4419335.129,1
71,439299.8112,4422423.962,439383.4298,4419301.161,1
72,439034.2088,4422476.566,439312.8162,4419308.453,1
73,439082.8271,4422449.326,439139.507,4419305.185,1
74,439077.6222,4422432.856,439359.6482,4419385.6,1
75,439309.3075,4422472.59,439474.7353,4419388.253,1
76,439405.0697,4422462.032,439471.4724,4419330.758,1
77,439326.9828,4422409.583,439328.054,4419360.998,1
78,439394.8442,4422424.153,439174.138,4419382.369,1
79,439100.8711,4422440.606,439030.3694,4419301.715,1
80,439197.5131,4422478.428,439217.3606,4419362.704,1
81,439122.676,4422440.731,439413.436,4419398.679,1
82,439468.8457,4422449.677,439327.8457,4419311.755,1
83,439185.0497,4422443.294,439230.5273,4419325.546,1
84,439375.8519,4422469.722,439182.2534,4419311.229,1
85,439014.598,4422404.768,439306.5264,4419369.956,1
86,439191.3188,4422469.857,439065.9253,4419340.136,1
87,439319.0427,4422416.417,439413.6036,4419382.483,1
88,439182.3704,4422415.175,439238.7927,4419398.111,1
89,439095.5599,4422425.292,439448.7046,4419302.04,1
90,439181.558,4422454.46,439352.8173,4419314.255,1
91,439053.5841,4422403.519,439379.7999,4419302.438,1
92,439122.6375,4422424.376,439393.6006,4419347.304,1
93,439201.1777,4422449.841,439154.9525,4419344.363,1
94,439140.5506,4422404.353,439053.7735,4419328.715,1
95,439073.7094,4422477.476,439249.6669,4419358.049,1
96,439022.7537,4422413.447,439116.4238,4419333.864,1
97,439013.6057,4422424.056,439040.7458,4419314.885,1
98,439325.3986,4422414.177,439213.5259,4419392.016,1
99,439073.4261,4422471.744,439172.7405,4419374.323,1
100,439166.8727,4422413.834,439076.3715,4419316.296,1
101,439003.8837,4422424.314,439184.743,4419310.438,1
102,439479.2822,4422405.016,439044.4119,4419368.062,1
103,439194.4993,4422434.195,439060.7133,4419396.817,1
104,439164.897,4422444.543,439377.802,4419397.427,1
105,439265.9248,4422470.93,439103.7242,4419342.539,1
106,439382.6751,4422478.451,439047.0122,4419363.77,1
107,439475.2873,4422460.438,439266.3913,4419322.392,1
108,439284.4213,4422440.708,439498.6416,4419395.919,1
109,439103.4392,4422449.067,439179.7761,4419311.341,1
110,439425.9727,4422419.57,439447.4234,4419334.942,1
111,439018.4504,4422469.156,439401.832,4419324.776,1
112,439276.5021,4422426.379,439158.6534,4419326.6,1
113,439421.0727,4422418.544,439139.6447,4419324.685,1
114,439021.983,4422413.131,439379.671,4419367.162,1
115,439407.2644,4422408.76,439201.6801,4419395.851,1
116,439233.4106,4422463.76,439464.3023,4419363.094,1
