id,ox,oy,dx,dy,ori_cluster
0,441893.2028,4423993.448,438993.9697,4418891.409,1
1,442117.6385,4423980.299,439060.2616,4418874.613,1
2,442215.3971,4423980.54,439265.6335,4418866.233,1
3,441618.017,4423935.234,439143.4284,4418857.096,1
4,442150.1969,4423986.321,439231.0753,4418866.451,1
5,441997.778,4423941.585,439131.4868,4418863.12,1
6,442017.2484,4423984.341,439588.3638,4418888.984,1
7,441686.4375,4423944.39,439528.9742,4418881.698,1
8,441678.1616,4423988.937,438953.5987,4418884.731,1
9,441959.0044,4423931.509,439488.2624,4418894.723,1
10,441635.2961,4423996.844,439205.7893,4418863.567,1
11,441635.8726,4423993.32,439302.2251,4418870.765,1
12,441646.8988,4423938.434,439051.1771,4418885.229,1
13,441846.3707,4423970.037,439642.9932,4418878.948,1
14,441761.5875,4423984.333,439096.2886,4418886.302,1
15,441669.0174,4423999.593,439157.4147,4418858.98,1
16,441609.0697,4423989.91,439063.6577,4418873.875,1
17,441855.9082,4423981.481,439034.3524,4418890.669,1
18,441678.6921,4423951.903,438990.8118,4418854.198,1
19,442192.392,4423958.202,439176.574,4418876.53,1
20,442198.8244,4423925.449,439296.3795,4418898.345,1
21,441958.5051,4423951.647,439079.4011,4418873.668,1
22,441913.2874,4423963.159,439485.7452,4418877.271,1
23,441949.6345,4423935.214,439197.3505,4418862.785,1
24,441816.8139,4423966.086,439213.5349,4418885.072,1
25,442257.6371,4423970.907,439156.9989,4418857.004,1
26,442070.1181,4423997.907,439322.6168,4418891.882,1
27,441916.9645,4423929.436,439071.7637,4418889.983,1
28,442026.9511,4423951.06,439125.9134,4418865.94,1
29,441949.1036,4423963.724,439172.9849,4418869.705,1
30,441883.8896,4423964.748,439035.9119,4418867.906,1
31,442108.7741,4423972.876,439485.5298,4418884.27,1
32,441978.8001,4423928.717,439635.279,4418878.151,1
33,441993.6569,4423996.418,439044.3076,4418892.46,1
34,442104.5588,4423963.258,439629.3975,4418856.587,1
35,442014.8452,4423960.702,439004.0988,4418869.825,1
36,441922.4359,4423945.02,439069.1155,4418891.967,1
37,441823.2565,4423972.651,439101.2238,4418855.918,1
38,441743.5721,4423955.984,439104.5286,4418896.977,1
39,441913.0493,4423955.354,439134.8288,4418882.884,1
40,441778.3626,4423999.274,439055.3817,4418863.07,1
41,441598.8714,4423978.938,439113.5401,4418866.8,1
42,442176.7141,4423962.457,439079.9115,4418865.686,1
43,441905.6438,4423956.363,439570.3607,4418860.302,1
